precinct,street_leng
1.0,323382.00723595667
5.0,162869.67819191836
6.0,145712.68281947848
7.0,135511.25952291314
9.0,122345.37407359929
10.0,158757.0232246874
13.0,177317.3478616804
14.0,99471.90208060361
17.0,156132.0242957257
18.0,171865.72556447
19.0,311721.5429967752
20.0,145892.64410285008
22.0,146122.8661564725
23.0,130147.22687413047
24.0,125119.49606355968
25.0,299808.4797113821
26.0,107938.78784836108
28.0,86112.28165878954
30.0,109248.2347639102
32.0,133379.87226527385
33.0,206832.20042947025
34.0,251502.30090800973
40.0,374684.62668173714
41.0,307674.5582072693
42.0,223185.27133530483
43.0,668448.9873007964
44.0,363387.87467213185
45.0,1037836.1386915833
46.0,254398.74326355784
47.0,735156.4502260039
48.0,259058.13733277444
49.0,581841.1545739595
50.0,542574.6947872236
52.0,385826.9891922723
60.0,391546.67866595386
61.0,786226.0292202585
62.0,565293.6501177261
63.0,775793.2875627548
66.0,523264.13000033644
67.0,504447.5128023931
68.0,663951.8815187612
69.0,432801.94627126673
70.0,406713.962963027
71.0,235756.2154087455
72.0,462638.72270729
73.0,284823.9053761522
75.0,851596.189364888
76.0,258955.6847632549
77.0,212354.04671481598
78.0,257856.67858809448
79.0,222149.09706267522
81.0,180800.346885435
83.0,270876.33862027875
84.0,265308.0679504153
88.0,234332.64965796718
90.0,383986.41109699995
94.0,333558.35153934796
100.0,723490.743020507
101.0,362013.6412724667
102.0,706971.4687523538
103.0,535655.9604790229
104.0,981083.5884779524
105.0,1909334.0812864886
106.0,892188.4057592163
107.0,1140586.2685795932
108.0,778291.0123636712
109.0,1559548.2989460907
110.0,727328.1237039063
111.0,1361831.6248789357
112.0,583992.5913672361
113.0,1271066.7757714982
114.0,962659.0160419787
115.0,571897.0748239142
120.0,1112687.0382355188
121.0,1490930.7357873456
122.0,1794693.742884273
123.0,1600669.5152929495
